"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","42/436","311/7024",0.135048231511254,2.17563939939231,5.45536466925893,1.10637775132571e-06,8.04147731451368e-06,5.93666110467453e-06,"12826/12827/21937/12575/15018/20847/56489/16776/14102/16362/19106/14972/231655/14366/21926/14964/19697/110557/23962/16391/15015/16782/20846/100038882/19225/16398/21825/15039/142980/15040/16399/13645/15013/21828/26427/630294/15006/12370/15024/17858/15007/14963",42
"Human Diseases","Infectious disease: viral","mmu05161","Hepatitis B","25/436","144/7024",0.173611111111111,2.79689092762487,5.60449552191853,2.16208519546516e-06,1.53405092440147e-05,1.13252081667223e-05,"12575/54123/24088/71586/17869/20847/56489/14102/20848/12364/21926/17874/18035/19697/21813/20850/16193/230073/20846/117149/12122/142980/26427/12370/11799",25
"Cellular Processes","Cell growth and death","mmu04210","Apoptosis","23/436","126/7024",0.182539682539683,2.94073103247415,5.65479429872561,2.28042710339752e-06,1.58038901584293e-05,1.16673014592431e-05,"21937/12983/13039/58801/22146/11796/14102/12984/235587/12364/21926/18035/19697/19766/21933/17873/13032/13368/12122/23882/12045/12370/11799",23
"Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","15/436","60/7024",0.25,4.02752293577982,6.05844918341879,2.45824258987839e-06,1.66490066314491e-05,1.2291212949392e-05,"246256/24088/21926/17874/18035/19697/13058/12266/20846/19225/16176/18126/16409/16153/16175",15
"Organismal Systems","Immune system","mmu04622","RIG-I-like receptor signaling pathway","14/436","53/7024",0.264150943396226,4.25549593214471,6.11977329354028,2.62532372914131e-06,1.73854771396469e-05,1.28349160091353e-05,"54123/67664/71586/56489/217069/21926/18035/19697/19766/230073/100038882/80861/12370/72512",14
"Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis","10/436","28/7024",0.357142857142857,5.75360419397117,6.48343134732927,3.64892454123884e-06,2.36386850715038e-05,1.74513782407075e-05,"14102/20339/21926/17874/22329/15894/16193/16176/16153/230899",10
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis","18/436","87/7024",0.206896551724138,3.33312242961088,5.63299144246403,4.6915068493722e-06,2.97461498109131e-05,2.19602448268486e-05,"12826/12827/12475/24088/16776/16177/21926/19697/14825/16193/16782/110382/16176/230558/15507/18126/16409/16153",18
"Human Diseases","Infectious disease: parasitic","mmu05145","Toxoplasmosis","19/436","96/7024",0.197916666666667,3.18845565749235,5.55388920812905,5.11177742088618e-06,3.17356181546684e-05,2.34289798457283e-05,"21937/24088/16776/11796/20848/15944/21926/17874/54396/18035/19697/16145/16782/20846/12703/18126/16153/12370/21939",19
"Cellular Processes","Cell growth and death","mmu04218","Cellular senescence","25/436","155/7024",0.161290322580645,2.59840189405149,5.1764599708627,8.47475748714269e-06,5.15403618605821e-05,3.80499315749264e-05,"12575/16009/15018/17869/14972/14964/19697/110557/21813/16193/15015/17873/63873/15039/15040/23882/18787/15013/14235/630294/15006/15024/16175/15007/14963",25
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","14/436","63/7024",0.222222222222222,3.58002038735984,5.2915801570154,2.30062536070028e-05,0.000137117271497737,0.000101227515870812,"13039/12977/24088/21926/14825/15894/16193/20293/20311/24099/16176/20302/16175/16408",14
"Human Diseases","Endocrine and metabolic disease","mmu04936","Alcoholic liver disease","20/436","116/7024",0.172413793103448,2.77760202467574,4.96609644977302,2.52024779738496e-05,0.000147261537964846,0.0001087165716519,"21937/12475/16803/56489/14102/16172/21926/17874/12273/18035/19697/14825/19766/12266/16193/117149/16176/12263/12370/26876",20
"Human Diseases","Cancer: overview","mmu05203","Viral carcinogenesis","27/436","191/7024",0.141361256544503,2.27734281185456,4.6041156624305,4.37214597951132e-05,0.000250557596518149,0.000184975406825479,"12575/54123/58801/15018/18034/19106/20848/14972/14964/18035/19697/110557/20850/16391/12266/15015/15039/15040/15013/26427/630294/20259/15006/12370/15024/15007/14963",27
"Human Diseases","Infectious disease: parasitic","mmu05142","Chagas disease","17/436","93/7024",0.182795698924731,2.94485547992503,4.8568942025231,4.728822127144e-05,0.000265884715828097,0.000196290729805977,"21937/24088/14102/21926/17874/18035/19697/21813/12266/16193/20293/16176/18126/18787/20302/16153/12370",17
"Organismal Systems","Immune system","mmu04650","Natural killer cell mediated cytotoxicity","15/436","77/7024",0.194805194805195,3.13832956034791,4.85343409215966,6.13547415743395e-05,0.000338587277576911,0.000249963761969531,"246256/14102/14972/16822/21926/22324/14964/14127/15894/19354/21933/12122/15040/16408/16818",15
"Human Diseases","Cancer: overview","mmu05202","Transcriptional misregulation in cancer","23/436","154/7024",0.149350649350649,2.4060526629334,4.53848978957673,6.81590933969208e-05,0.000369298360586953,0.000272636373587683,"12475/235320/12575/16009/18791/80859/17869/11796/15902/12394/12608/20375/19697/21813/15081/16193/17873/56312/23882/12045/16409/21939/50528",23
"Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","15/436","83/7024",0.180722891566265,2.91146236321433,4.50631512742199,0.000149991145939148,0.000798167169461897,0.000589250930475226,"16190/16194/16177/20848/12394/18035/19697/21813/20850/16193/20846/60505/18037/16176/16818",15
